Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,3.87,3.88,3.45,3.99,3.99,203130
2023-05-10,3.63,3.94,3.11,3.26,3.26,155805
2023-05-11,3.45,4.07,3.31,3.95,3.95,172551
2023-05-12,4.70,4.42,4.67,4.10,4.10,225270
2023-05-15,4.01,4.65,4.05,4.70,4.70,160097
2023-05-16,4.94,4.06,3.72,3.47,3.47,104885
2023-05-17,3.60,3.57,2.71,2.25,2.25,207677
2023-05-18,2.27,3.34,2.13,2.54,2.54,135682
2023-05-19,2.38,2.98,2.63,2.06,2.06,169608
2023-05-22,2.00,2.58,1.91,1.99,1.99,129664
2023-05-23,2.68,2.89,2.12,2.72,2.72,151975
2023-05-24,2.84,3.17,2.03,2.34,2.34,91780
