Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,7.87,7.88,7.45,7.99,7.99,503130
2023-05-10,7.63,7.94,7.11,7.26,7.26,455805
2023-05-11,7.45,8.07,7.31,7.95,7.95,472551
2023-05-12,8.70,8.42,8.67,8.10,8.10,525270
2023-05-15,8.01,8.65,8.05,8.70,8.70,460097
2023-05-16,8.94,8.06,7.72,7.47,7.47,404885
2023-05-17,7.60,7.57,6.71,6.25,6.25,507677
2023-05-18,6.27,7.34,6.13,6.54,6.54,435682
2023-05-19,6.38,6.98,6.63,6.06,6.06,469608
2023-05-22,6.00,6.58,5.91,5.99,5.99,429664
2023-05-23,6.68,6.89,6.12,6.72,6.72,451975
2023-05-24,6.84,7.17,6.03,6.34,6.34,391780
