Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,8.87,8.88,8.45,8.99,8.99,503130
2023-05-10,8.63,8.94,8.11,8.26,8.26,455805
2023-05-11,8.45,9.07,8.31,8.95,8.95,472551
2023-05-12,9.70,9.42,9.67,9.10,9.10,525270
2023-05-15,9.01,9.65,9.05,9.70,9.70,460097
2023-05-16,9.94,9.06,8.72,8.47,8.47,404885
2023-05-17,8.60,8.57,7.71,7.25,7.25,507677
2023-05-18,7.27,8.34,7.13,7.54,7.54,435682
2023-05-19,7.38,7.98,7.63,7.06,7.06,469608
2023-05-22,7.00,7.58,6.91,6.99,6.99,429664
2023-05-23,7.68,7.89,7.12,7.72,7.72,451975
2023-05-24,7.84,8.17,7.03,7.34,7.34,391780
2023-05-25,7.73,7.35,7.03,6.87,6.87,392356
2023-05-26,7.00,7.24,6.31,6.61,6.61,417011
2023-05-30,6.42,6.43,6.33,6.67,6.67,401269
2023-05-31,6.97,7.17,6.38,6.76,6.76,444512
2023-06-01,6.17,6.33,6.22,6.18,6.18,364041
2023-06-02,6.58,7.45,6.89,7.45,7.45,477707
2023-06-05,7.34,7.45,7.46,7.93,7.93,453317
2023-06-06,7.90,8.81,7.78,8.45,8.45,466249
2023-06-07,8.02,8.98,8.48,8.37,8.37,410696
2023-06-08,8.25,8.54,8.40,8.99,8.99,412508
2023-06-09,9.19,9.19,9.02,9.98,9.98,648827
2023-06-12,9.74,9.09,8.51,9.42,9.42,723073
2023-06-13,9.16,9.45,9.15,9.59,9.59,541654
2023-06-14,9.50,9.50,8.84,9.16,9.16,515312
2023-06-15,8.32,8.48,8.21,8.29,8.29,521654
2023-06-16,8.78,8.50,8.20,8.27,8.27,503611
2023-06-19,8.66,9.74,8.66,9.34,9.34,525414
2023-06-20,9.87,9.87,9.94,9.01,9.01,449001
2023-06-21,9.52,9.07,9.61,9.87,9.87,412658
2023-06-22,9.77,9.70,9.12,9.63,9.63,391063
2023-06-23,9.13,10.16,9.11,9.28,9.28,454394
2023-06-26,9.17,10.28,9.38,9.82,9.82,456924
2023-06-27,9.01,9.16,8.62,8.73,8.73,447619
2023-06-28,8.49,9.11,8.16,8.83,8.83,420824
2023-06-29,8.71,8.13,8.28,8.68,8.68,414994
2023-06-30,8.45,8.96,8.78,8.02,8.02,430241
2023-07-03,8.88,8.30,8.10,8.50,8.50,342583
2023-07-05,8.69,8.79,7.72,8.09,8.09,415696
2023-07-06,8.02,8.50,7.41,7.73,7.73,441288
2023-07-07,7.90,8.75,7.90,8.18,8.18,392017
2023-07-08,8.11,8.95,8.37,8.06,8.06,410906
