Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,5.87,5.88,5.45,5.99,5.99,403130
2023-05-10,5.63,5.94,5.11,5.26,5.26,355805
2023-05-11,5.45,6.07,5.31,5.95,5.95,372551
2023-05-12,6.70,6.42,6.67,6.10,6.10,425270
2023-05-15,6.01,6.65,6.05,6.70,6.70,360097
2023-05-16,6.94,6.06,5.72,5.47,5.47,304885
2023-05-17,5.60,5.57,4.71,4.25,4.25,407677
2023-05-18,4.27,5.34,4.13,4.54,4.54,335682
2023-05-19,4.38,4.98,4.63,4.06,4.06,369608
2023-05-22,4.00,4.58,3.91,3.99,3.99,329664
2023-05-23,4.68,4.89,4.12,4.72,4.72,351975
2023-05-24,4.84,5.17,4.03,4.34,4.34,291780
