Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,42.87,43.88,42.45,42.99,42.99,1503130
2023-05-10,42.63,42.94,42.11,42.26,42.26,1255805
2023-05-11,42.45,44.07,42.31,43.95,43.95,1272551
2023-05-12,44.70,46.42,44.67,46.10,46.10,1325270
2023-05-15,46.01,46.65,45.05,45.70,45.70,1260097
2023-05-16,45.94,46.06,44.72,45.47,45.47,1204885
2023-05-17,43.60,44.57,39.71,40.25,40.25,1507677
2023-05-18,41.27,43.34,41.13,42.54,42.54,1335682
2023-05-19,43.38,43.98,42.63,43.06,43.06,1269608
2023-05-22,44.00,44.58,42.91,43.99,43.99,1229664
2023-05-23,44.68,44.89,44.12,44.72,44.72,1551975
2023-05-24,44.84,45.17,44.03,44.34,44.34,1191780
2023-05-25,44.73,44.35,44.03,43.87,43.87,1192356
2023-05-26,44.00,44.24,43.31,43.61,43.61,1217011
2023-05-30,43.42,44.43,43.33,43.67,43.67,1201269
2023-05-31,43.97,44.17,42.38,42.76,42.76,1244512
2023-06-01,43.17,43.33,42.22,43.18,43.18,1164041
2023-06-02,43.58,45.45,42.89,45.45,45.45,1277707
2023-06-05,44.34,44.45,43.46,43.93,43.93,1253317
2023-06-06,43.90,45.81,43.78,44.45,44.45,1266249
2023-06-07,45.02,45.98,44.48,45.37,45.37,1210696
2023-06-08,45.25,45.54,44.40,44.99,44.99,1212508
2023-06-09,45.19,45.19,46.02,48.98,48.98,1648827
2023-06-12,45.74,46.09,42.51,45.42,45.42,1723073
2023-06-13,47.16,47.45,45.15,46.59,46.59,1341654
2023-06-14,47.50,47.50,43.84,45.16,45.16,1315312
2023-06-15,43.32,44.48,42.21,44.29,44.29,1321654
2023-06-16,43.78,44.50,42.20,42.27,42.27,1503611
2023-06-19,43.66,46.74,43.66,46.34,46.34,1325414
2023-06-20,46.87,46.87,44.94,45.01,45.01,1249001
2023-06-21,45.52,46.07,44.61,45.87,45.87,1212658
2023-06-22,45.77,46.70,45.12,45.63,45.63,1191063
2023-06-23,45.13,47.16,45.11,46.28,46.28,1354394
2023-06-26,47.17,48.28,45.38,45.82,45.82,1256924
2023-06-27,45.01,46.16,43.62,43.73,43.73,1247619
2023-06-28,44.49,46.11,43.16,45.83,45.83,1220824
2023-06-29,44.71,45.13,42.28,43.68,43.68,1314994
2023-06-30,44.45,44.96,43.78,44.02,44.02,1230241
2023-07-03,44.88,45.30,43.10,43.50,43.50,1142583
2023-07-05,43.69,44.79,42.72,44.09,44.09,1215696
2023-07-06,43.02,43.50,42.41,42.73,42.73,1241288
2023-07-07,42.90,44.75,42.90,44.18,44.18,1192017
2023-07-08,44.11,45.95,43.37,45.06,45.06,1210906
