Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,6.87,6.88,6.45,6.99,6.99,303130
2023-05-10,6.63,6.94,6.11,6.26,6.26,255805
2023-05-11,6.45,7.07,6.31,6.95,6.95,272551
2023-05-12,7.70,7.42,7.67,7.10,7.10,325270
2023-05-15,7.01,7.65,7.05,7.70,7.70,260097
2023-05-16,7.94,7.06,6.72,6.47,6.47,204885
2023-05-17,6.60,6.57,5.71,5.25,5.25,307677
2023-05-18,5.27,6.34,5.13,5.54,5.54,235682
2023-05-19,5.38,5.98,5.63,5.06,5.06,269608
2023-05-22,5.00,5.58,4.91,4.99,4.99,229664
2023-05-23,5.68,5.89,5.12,5.72,5.72,251975
2023-05-24,5.84,6.17,5.03,5.34,5.34,191780
2023-05-25,5.73,5.35,5.03,4.87,4.87,192356
2023-05-26,5.00,5.24,4.31,4.61,4.61,217011
2023-05-30,4.42,4.43,4.33,4.67,4.67,201269
2023-05-31,4.97,5.17,4.38,4.76,4.76,244512
2023-06-01,4.17,4.33,4.22,4.18,4.18,164041
2023-06-02,4.58,5.45,4.89,5.45,5.45,277707
2023-06-05,5.34,5.45,5.46,5.93,5.93,253317
2023-06-06,5.90,6.81,5.78,6.45,6.45,266249
2023-06-07,6.02,6.98,6.48,6.37,6.37,210696
2023-06-08,6.25,6.54,6.40,6.99,6.99,212508
2023-06-09,7.19,7.19,7.02,7.98,7.98,448827
2023-06-12,7.74,7.09,6.51,7.42,7.42,523073
2023-06-13,7.16,7.45,7.15,7.59,7.59,341654
2023-06-14,7.50,7.50,6.84,7.16,7.16,315312
2023-06-15,6.32,6.48,6.21,6.29,6.29,321654
2023-06-16,6.78,6.50,6.20,6.27,6.27,303611
2023-06-19,6.66,7.74,6.66,7.34,7.34,325414
2023-06-20,7.87,7.87,7.94,7.01,7.01,249001
2023-06-21,7.52,7.07,7.61,7.87,7.87,212658
2023-06-22,7.77,7.70,7.12,7.63,7.63,191063
2023-06-23,7.13,8.16,7.11,7.28,7.28,254394
2023-06-26,7.17,8.28,7.38,7.82,7.82,256924
2023-06-27,7.01,7.16,6.62,6.73,6.73,247619
2023-06-28,6.49,7.11,6.16,6.83,6.83,220824
2023-06-29,6.71,6.13,6.28,6.68,6.68,214994
2023-06-30,6.45,6.96,6.78,6.02,6.02,230241
2023-07-03,6.88,6.30,6.10,6.50,6.50,142583
2023-07-05,6.69,6.79,5.72,6.09,6.09,215696
2023-07-06,6.02,6.50,5.41,5.73,5.73,241288
2023-07-07,5.90,6.75,5.90,6.18,6.18,192017
2023-07-08,6.11,6.95,6.37,6.06,6.06,210906
